TIME;Cours_action_ZE;Inflation_ZE;TX_LT;Var_CAC40;Var_FTSE100;Var_DAX;Var_EUST50;TX_change_ZE;PIB_ZE;PIB_G7;FBCF_EU;FIDLEUI LX Equity
2013-01;75,44898;2;2,3926;2,51%;6,43%;2,15%;2,54%;0,753159;-0,390069;0,582878;-1,418479;10,37
2013-02;74,30003;1,9;2,8576;-0,26%;1,34%;-0,44%;-2,57%;0,753159;-0,390069;0,582878;-1,418479;10,5
2013-03;75,94781;1,7;3,0266;0,23%;0,80%;0,69%;-0,36%;0,753159;-0,390069;0,582878;-1,418479;10,88
2013-04;74,65344;1,2;2,8554;3,36%;0,29%;1,52%;3,35%;0,753159;0,535237;0,407421;1,776293;11
2013-05;78,6491;1,4;2,6849;2,38%;2,38%;5,50%;2,13%;0,753159;0,535237;0,407421;1,776293;11,28
2013-06;75,30694;1,6;3,0704;-5,31%;-5,58%;-4,67%;-6,03%;0,753159;0,535237;0,407421;1,776293;10,84
2013-07;76,45506;1,6;3,1012;6,79%;6,53%;3,98%;6,36%;0,753159;0,321475;0,682474;1,547611;11,36
2013-08;79,78374;1,3;3,0965;-1,48%;-3,14%;-2,09%;-1,69%;0,753159;0,321475;0,682474;1,547611;11,01
2013-09;81,58591;1,1;3,4065;5,33%;0,77%;6,06%;6,31%;0,753159;0,321475;0,682474;1,547611;11,35
2013-10;84,61816;0,7;3,163;3,78%;4,17%;5,11%;6,04%;0,753159;0,237079;0,531091;0,550389;11,66
2013-11;86,66119;0,9;3,1712;-0,11%;-1,20%;4,11%;0,61%;0,753159;0,237079;0,531091;0,550389;11,83
2013-12;85,69329;0,8;3,3128;0,02%;1,48%;1,56%;0,72%;0,753159;0,237079;0,531091;0,550389;11,94
2014-01;88,34238;0,8;3,2117;-3,03%;-3,54%;-2,57%;-3,06%;0,753731;0,465296;0,170346;1,315701;11,69
2014-02;88,68092;0,7;3,089;5,82%;4,60%;4,14%;4,49%;0,753731;0,465296;0,170346;1,315701;12,29
2014-03;88,97874;0,5;2,8861;-0,38%;-3,10%;-1,40%;0,39%;0,753731;0,465296;0,170346;1,315701;12,02
2014-04;90,68548;0,7;2,6104;2,18%;2,75%;0,50%;1,16%;0,753731;0,183463;0,487524;-1,02097;12,26
2014-05;91,14529;0,5;2,5549;0,72%;0,95%;3,54%;1,44%;0,753731;0,183463;0,487524;-1,02097;12,65
2014-06;93,04795;0,5;2,2769;-2,14%;-1,47%;-1,11%;-0,50%;0,753731;0,183463;0,487524;-1,02097;12,63
2014-07;90,47438;0,4;2,1607;-4,00%;-0,21%;-4,33%;-3,49%;0,753731;0,468839;0,799717;1,320147;12,47
2014-08;87,39693;0,4;1,9907;3,18%;1,33%;0,67%;1,83%;0,753731;0,468839;0,799717;1,320147;12,62
2014-09;90,96001;0,3;1,849;0,80%;-2,89%;0,04%;1,68%;0,753731;0,468839;0,799717;1,320147;12,65
2014-10;85,39798;0,4;1,6914;-4,15%;-1,15%;-1,56%;-3,49%;0,753731;0,431172;0,505009;0,917756;12,44
2014-11;88,62;0,3;1,6196;3,71%;2,69%;7,01%;4,42%;0,753731;0,431172;0,505009;0,917756;12,9
2014-12;89,9124;-0,2;1,4509;-2,67%;-2,33%;-1,76%;-3,21%;0,753731;0,431172;0,505009;0,917756;12,77
2015-01;91,80496;-0,6;1,2699;7,76%;2,79%;9,06%;6,52%;0,901659;0,739325;0,617882;0,930224;13,73
2015-02;99,14811;-0,3;1,2147;7,54%;2,92%;6,61%;7,39%;0,901659;0,739325;0,617882;0,930224;14,82
2015-03;104,9504;-0,1;0,9554;1,66%;-2,50%;4,95%;2,73%;0,901659;0,739325;0,617882;0,930224;15,13
2015-04;107,5063;0,2;0,8523;0,26%;2,77%;-4,28%;-2,21%;0,901659;0,400048;0,519132;4,872585;15,17
2015-05;104,8303;0,6;1,3351;-0,76%;0,34%;-0,35%;-1,24%;0,901659;0,400048;0,519132;4,872585;15,38
2015-06;102,177;0,5;1,6688;-4,35%;-6,64%;-4,11%;-4,10%;0,901659;0,400048;0,519132;4,872585;14,61
2015-07;102,8282;0,5;1,5298;6,10%;2,69%;3,33%;5,15%;0,901659;0,466972;0,302741;-2,496866;15,24
2015-08;100,1312;0,4;1,3932;-8,45%;-6,70%;-9,28%;-9,19%;0,901659;0,466972;0,302741;-2,496866;13,76
2015-09;92,8857;0,2;1,4823;-4,25%;-2,98%;-5,84%;-5,17%;0,901659;0,466972;0,302741;-2,496866;13,11
2015-10;96,0555;0,4;1,2025;9,93%;4,94%;12,32%;10,24%;0,901659;0,426079;0,110356;2,413966;14,18
2015-11;100,5562;0,1;1,1552;1,22%;-0,08%;4,90%;2,58%;0,901659;0,426079;0,110356;2,413966;14,49
2015-12;97,12614;0,3;1,1947;-6,47%;-1,79%;-5,62%;-6,81%;0,901659;0,426079;0,110356;2,413966;13,77
2016-01;90,36546;0,3;1,1142;-4,75%;-2,54%;-8,80%;-6,81%;0,904035;0,605132;0,53369;-0,215144;12,99
2016-02;85,4269;-0,1;1,0403;-1,44%;0,22%;-3,09%;-3,26%;0,904035;0,605132;0,53369;-0,215144;12,76
2016-03;90,35648;0;0,9314;0,72%;1,28%;4,95%;2,01%;0,904035;0,605132;0,53369;-0,215144;12,88
2016-04;90,7885;-0,3;0,9626;1,00%;1,08%;0,74%;0,77%;0,904035;0,285829;0,307903;0,652273;13,23
2016-05;89,69597;-0,1;0,9719;1,73%;-0,18%;2,23%;1,16%;0,904035;0,285829;0,307903;0,652273;13,64
2016-06;87,63414;0;0,8793;-5,95%;4,39%;-5,68%;-6,49%;0,904035;0,285829;0,307903;0,652273;13,1
2016-07;87,82053;0,2;0,6213;4,77%;3,38%;6,79%;4,40%;0,904035;0,444112;0,463205;0,837595;13,48
2016-08;90,72702;0,2;0,6133;-0,04%;0,85%;2,47%;1,08%;0,904035;0,444112;0,463205;0,837595;13,43
2016-09;91,37519;0,4;0,7354;0,23%;1,74%;-0,77%;-0,69%;0,904035;0,444112;0,463205;0,837595;13,44
2016-10;92,03178;0,5;0,7753;1,37%;0,80%;1,47%;1,77%;0,904035;0,756348;0,454398;1,11791;13,31
2016-11;91,10402;0,6;1,2343;1,53%;-2,45%;-0,23%;-0,12%;0,904035;0,756348;0,454398;1,11791;13,78
2016-12;96,24695;1,1;1,2882;6,20%;5,29%;7,90%;7,83%;0,904035;0,756348;0,454398;1,11791;14,51
2017-01;98,9314;1,7;1,3139;-2,33%;-0,61%;0,47%;-1,82%;0,887397;0,665789;0,715251;-0,394237;14,36
2017-02;99,15401;2;1,4452;2,31%;2,31%;2,59%;2,75%;0,887397;0,665789;0,715251;-0,394237;14,79
2017-03;102,6455;1,5;1,4599;5,43%;0,82%;4,04%;5,46%;0,887397;0,665789;0,715251;-0,394237;15,22
2017-04;104,8432;1,9;1,2643;2,83%;-1,62%;1,02%;1,68%;0,887397;0,715097;0,538645;5,213289;15,47
2017-05;108,6536;1,4;1,1762;0,31%;4,39%;1,42%;-0,14%;0,887397;0,715097;0,538645;5,213289;15,75
2017-06;107,6759;1,3;1,0719;-3,08%;-2,76%;-2,30%;-3,17%;0,887397;0,715097;0,538645;5,213289;15,16
2017-07;106,0637;1,3;1,2079;-0,53%;0,81%;-1,68%;0,22%;0,887397;0,778732;0,703459;-1,616554;14,91
2017-08;105,2842;1,5;1,0443;-0,16%;0,80%;-0,52%;-0,81%;0,887397;0,778732;0,703459;-1,616554;14,46
2017-09;106,8775;1,6;1,115;4,80%;-0,78%;6,41%;5,07%;0,887397;0,778732;0,703459;-1,616554;15,18
2017-10;109,9482;1,4;1,1493;3,25%;1,63%;3,12%;2,20%;0,887397;0,782611;0,691995;0,937003;15,54
2017-11;109,9527;1,5;0,9476;-2,37%;-2,22%;-1,55%;-2,83%;0,887397;0,782611;0,691995;0,937003;15,27
2017-12;109,3862;1,3;0,88;-1,12%;4,93%;-0,82%;-1,85%;0,887397;0,782611;0,691995;0,937003;15,36
2018-01;111,6844;1,3;1,0339;3,19%;-2,01%;2,10%;3,01%;0,847186;0,270565;0,358799;0,521883;15,44
2018-02;106,8396;1,1;1,2731;-2,94%;-4,00%;-5,71%;-4,72%;0,847186;0,270565;0,358799;0,521883;14,8
2018-03;105,4975;1,4;1,1717;-2,88%;-2,42%;-2,73%;-2,25%;0,847186;0,270565;0,358799;0,521883;14,56
2018-04;107,4639;1,2;1,1286;6,84%;6,42%;4,26%;5,21%;0,847186;0,363529;0,613197;1,155689;15,37
2018-05;110,1094;2;1,2359;-2,21%;2,25%;-0,06%;-3,67%;0,847186;0,363529;0,613197;1,155689;15,77
2018-06;107,6366;2;1,2872;-1,39%;-0,54%;-2,37%;-0,32%;0,847186;0,363529;0,613197;1,155689;15,82
2018-07;107,7382;2,2;1,1987;3,53%;1,46%;4,06%;3,83%;0,847186;0,195744;0,373173;-0,518056;16,04
2018-08;107,3609;2,1;1,3674;-1,90%;-4,08%;-3,45%;-3,76%;0,847186;0,195744;0,373173;-0,518056;15,78
2018-09;105,6573;2,1;1,3218;1,60%;1,05%;-0,95%;0,19%;0,847186;0,195744;0,373173;-0,518056;15,8
2018-10;100,7757;2,3;1,5603;-7,28%;-5,09%;-6,53%;-5,93%;0,847186;0,337439;0,281791;0,503865;14,84
2018-11;98,61532;1,9;1,4073;-1,76%;-2,07%;-1,66%;-0,76%;0,847186;0,337439;0,281791;0,503865;14,64
2018-12;93,84237;1,5;1,2131;-5,46%;-3,61%;-6,20%;-5,41%;0,847186;0,337439;0,281791;0,503865;13,75
